Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,LLC_BI__Description__c,LLC_BI__Is_Template__c,LLC_BI__Screen__c,LLC_BI__lookupKey__c,LLC_BI__Object_API_Name__c,LLC_BI__Is_Disabled__c,LLC_BI__FScreen__c,LLC_BI__Linked_Placeholder_Id__c,AutorabitExtId__c
a1H4T000000PMsVUAW,0054T000000ZYm5QAG,,Small Business Credit Memo,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,,,,You might want a more thorough understanding of a customer's relationship using an expansive template designed for Small Business deals. nCino customers often have several different templates based on their criteria.,true,,42520778953041368,,false,a344T000000PEXlQAO,,
a1H4T000000PMsWUAW,0054T000000ZYm5QAG,,Small Business Credit Memo,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,,,,You might want a more thorough understanding of a customer's relationship using an expansive template designed for Small Business deals. nCino customers often have several different templates based on their criteria.,false,,42816682962233335,,false,a344T000000PEXmQAO,,
