Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LLC_BI__Active__c,LLC_BI__Credit_Memo__c,LLC_BI__Description__c,LLC_BI__Lookupkey__c,LLC_BI__Screen__c,LLC_BI__Template_ID__c,LLC_BI__Template_Name__c
"a4V4T000000PFqwUAG","0054T000000ZYm5QAG","","Commercial Short Form","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","true","a1H4T000000PMsUUAW","Here is an example of a commercial short form credit analysis/writeup.  This short from will have a sub set of the sections of information from the master template.","CMT-427284592","a344T000000PEdpQAG","","Commercial Short Form"
"a4V4T000000PFqxUAG","0054T000000ZYm5QAG","","Commercial Full Analysis","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","true","a1H4T000000PMsUUAW","Here is an example of a full Commercial credit analysis writeup.","CMT-421371905","a344T000000PEdqQAG","","Commercial Full Analysis"
"a4V4T000000PFrPUAW","0054T000000ZYm5QAG","","Commercial Short Form","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","true","a1H4T000000PMsTUAW","Here is an example of a commercial short form credit analysis/writeup.  This short from will have a sub set of the sections of information from the master template.","CMT-420985340","a344T000000PEeNQAW","","Commercial Short Form"
"a4V4T000000PFrQUAW","0054T000000ZYm5QAG","","Commercial Full Analysis","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","true","a1H4T000000PMsTUAW","Here is an example of a full Commercial credit analysis writeup.","CMT-429545061","a344T000000PEeOQAW","","Commercial Full Analysis"
"a4V4T000000PINaUAO","0054T000000ZYm5QAG","","Commercial Short Form","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","","true","a1H4T000000PdLzUAK","Here is an example of a commercial short form credit analysis/writeup.  This short from will have a sub set of the sections of information from the master template.","CMT-429676179","a344T000000PINrQAO","","Commercial Short Form"
"a4V4T000000PINbUAO","0054T000000ZYm5QAG","","Commercial Full Analysis","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","","true","a1H4T000000PdLzUAK","Here is an example of a full Commercial credit analysis writeup.","CMT-427878424","a344T000000PINsQAO","","Commercial Full Analysis"
