Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,nFORCE__Disable_Print__c,nFORCE__Show_Link_To_Context_Object__c,nFORCE__lookupKey__c,AutorabitExtId__c
"a344T000000PEXkQAO","0054T000000ZYm5QAG","","Loan Credit Memo","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","true","true","42744462646768559",""
"a344T000000PEXnQAO","0054T000000ZYm5QAG","","Loan Credit Memo","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","false","true","42751544234800356",""
"a344T000000PINqQAO","0054T000000ZYm5QAG","","Loan Credit Memo","2019-09-18T14:48:45.000Z","0054T000000ZYm5QAG","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","","","true","true","42428473356829361",""
