Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Data__c,nFORCE__Icon__c,nFORCE__Is_Knockout__c,nFORCE__Is_Narrative__c,nFORCE__Parameters__c,nFORCE__Script_Resource_Eight__c,nFORCE__Script_Resource_Five__c,nFORCE__Script_Resource_Four__c,nFORCE__Script_Resource_Nine__c,nFORCE__Script_Resource_One__c,nFORCE__Script_Resource_Seven__c,nFORCE__Script_Resource_Six__c,nFORCE__Script_Resource_Ten__c,nFORCE__Script_Resource_Three__c,nFORCE__Script_Resource_Two__c,nFORCE__Stylesheet_Resource_Eight__c,nFORCE__Stylesheet_Resource_Five__c,nFORCE__Stylesheet_Resource_Four__c,nFORCE__Stylesheet_Resource_Nine__c,nFORCE__Stylesheet_Resource_One__c,nFORCE__Stylesheet_Resource_Seven__c,nFORCE__Stylesheet_Resource_Six__c,nFORCE__Stylesheet_Resource_Ten__c,nFORCE__Stylesheet_Resource_Three__c,nFORCE__Stylesheet_Resource_Two__c,nFORCE__Type__c,nFORCE__View__c,nFORCE__lookupKey__c,nFORCE__Is_Angular__c,nFORCE__Script_Resource_Eleven__c,nFORCE__Script_Resource_Fifteen__c,nFORCE__Script_Resource_Fourteen__c,nFORCE__Script_Resource_Thirteen__c,nFORCE__Script_Resource_Twelve__c,AutorabitExtId__c
"a374T000000PEBlQAO","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42802568870778352","","","","","","",""
"a374T000000PEBmQAO","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42022262857844741","","","","","","",""
