Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Order__c,nFORCE__Screen_Section__c,nFORCE__Screen__c,nFORCE__Type__c,nFORCE__lookupKey__c,AutorabitExtId__c
"a4U4T000000fzCrUAI","0054T000000ZYm5QAG","","a4U4T000000fzCr","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","1.0","a334T000000PHtzQAG","a344T000000PEZZQA4","","",""
"a4U4T000000fzCsUAI","0054T000000ZYm5QAG","","a4U4T000000fzCs","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","0.0","a334T000000PHu0QAG","a344T000000PEZZQA4","","",""
"a4U4T000000fzCtUAI","0054T000000ZYm5QAG","","a4U4T000000fzCt","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","1.0","a334T000000PHu5QAG","a344T000000PEZcQAO","","",""
"a4U4T000000fzCuUAI","0054T000000ZYm5QAG","","a4U4T000000fzCu","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","0.0","a334T000000PHuKQAW","a344T000000PEZnQAO","","",""
"a4U4T000000fzCvUAI","0054T000000ZYm5QAG","","a4U4T000000fzCv","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","0.0","a334T000000PHu2QAG","a344T000000PEZoQAO","","",""
"a4U4T000000fzCwUAI","0054T000000ZYm5QAG","","a4U4T000000fzCw","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","0.0","a334T000000PHuPQAW","a344T000000PEZrQAO","","",""
"a4U4T000000fzCxUAI","0054T000000ZYm5QAG","","a4U4T000000fzCx","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","0.0","a334T000000PHuVQAW","a344T000000PEZsQAO","","",""
"a4U4T000000fzCyUAI","0054T000000ZYm5QAG","","a4U4T000000fzCy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","1.0","a334T000000PHu6QAG","a344T000000PEZcQAO","","",""
