Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Alternate_Label__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Default_Value__c,nFORCE__Field_Hint__c,nFORCE__Field_Name__c,nFORCE__Format_Description__c,nFORCE__Format_Enabled__c,nFORCE__Format_Expression__c,nFORCE__Format_Message__c,nFORCE__Is_Hidden__c,nFORCE__Is_Read_Only__c,nFORCE__Is_Required__c,nFORCE__Output_Expression__c,nFORCE__Route__c,nFORCE__SLDS_Column_Size__c,nFORCE__Screen_Section__c,nFORCE__Tooltip_Contents__c,nFORCE__Tooltip_Enabled__c,nFORCE__Tooltip_Text__c,nFORCE__lookupKey__c,nFORCE__sObject_Name__c,nPortal__Picklist_Buttons_Enabled__c,nFORCE__Is_Editable__c,User__c,nFORCE__Is_Header__c,nFORCE__Is_Important__c,nFORCE__Filter_Criteria__c,nFORCE__Filter_Display_Name__c,nFORCE__Is_Active__c,nFORCE__Is_Filter_Active__c
"a014T000001VRZzQAO","0054T000000ZYm5QAG","","FC-000518","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","LLC_BI__Is_Syndication__c","","false","","","true","false","false","","","","a334T000000PHjVQAW","","false","","","LLC_BI__Loan__c","false","false","","false","false","","","false","false"
"a014T000001VRa0QAG","0054T000000ZYm5QAG","","FC-000520","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","LLC_BI__Has_Syndicated_Loans__c","","false","","","true","false","false","","","","a334T000000PHjWQAW","","false","","","LLC_BI__Product_Package__c","false","false","","false","false","","","false","false"
